Time,Node A,Node B,Node C,Node D,Node E,Node F
2021-01-08 15:00:00,10157227560.0,12185715873.0,59340.81688,40236306.6,60912266.76,2644043.288
2021-01-08 16:00:00,10944768920.0,12652739540.0,73987901.59,55866772.73,44440165.03,1684752.409
2021-01-08 17:00:00,13927707954.0,13361037388.0,50633.62497,41677845.44,129998048.9,1449933.602
2021-01-08 18:00:00,12384338322.0,10889302085.0,65772.9009,31062561.08,61787460.6,1346835.081
2021-01-08 19:00:00,13836120426.0,11419389996.0,71918183.39,35347102.13,81922955.78,1413853.396
2021-01-08 20:00:00,15412684290.0,12609564959.0,66232.18552,43217669.07,73803371.05,2407011.108
2021-01-08 21:00:00,17383299456.0,11983218861.0,70175507.04,31461974.08,50132430.34,1973609.19
2021-01-08 22:00:00,14939421668.0,9703507450.0,16039.12285,21089590.54,104931564.2,1875002.989
2021-01-08 23:00:00,13144446901.0,6940982137.0,84572.88,11134168.89,85994064.04,1451192.229
2021-01-09 00:00:00,12250367652.0,1810131159.0,24623898.67,121476862.7,58751088.39,1392023.993
2021-01-09 01:00:00,10988545917.0,7621399197.0,43199.00486,149136697.9,22794266.82,1123448.287
2021-01-09 02:00:00,15153640503.0,5692276935.0,109985.5296,130718866.2,21926832.54,1123658.183
2021-01-09 03:00:00,20184644108.0,3796574865.0,48770856.4,176478832.4,23135098.76,1172701.333
2021-01-09 04:00:00,18833540386.0,5101853829.0,85881560.02,208087559.5,31565100.66,2591573.547
2021-01-09 05:00:00,19729011492.0,3701425063.0,15270.94816,156422915.7,18639548.49,2447770.002
2021-01-09 06:00:00,18201632552.0,4578567675.0,63634.64833,224106070.3,18034693.64,1038778.282
2021-01-09 07:00:00,20543742331.0,6051570699.0,36120355.54,217744976.0,96654897.77,1062415.11
2021-01-09 08:00:00,21304172991.0,5304789105.0,121177780.8,147997315.2,13887881.23,1042613.596
2021-01-09 09:00:00,20338584678.0,6256667771.0,113272.5607,111261398.5,11465252.56,1042142.743
2021-01-09 10:00:00,22629421957.0,4044971124.0,16203.54323,198354418.6,56794700.04,1074505.886
2021-01-09 11:00:00,22540581686.0,4498024811.0,51110.93691,112038535.1,20247509.78,1066826.084
2021-01-09 12:00:00,20303801232.0,5517456432.0,49177491.18,85815435.22,16403392.87,1043177.324
2021-01-09 13:00:00,15996298891.0,7729316301.0,29184930.72,97840725.27,68590702.14,1036396.736
2021-01-09 14:00:00,18242481919.0,5505933577.0,58624.24889,84241349.61,80645208.84,1198122.315
2021-01-09 15:00:00,19402073820.0,6468912822.0,37311098.34,140968941.2,116054612.5,1443324.14
2021-01-09 16:00:00,14988562996.0,7958424208.0,44794199.15,69996013.65,104724653.0,1460179.246
2021-01-09 17:00:00,12951206019.0,8151690599.0,43124271.09,72482058.33,57564550.18,1327616.891
2021-01-09 18:00:00,11669696387.0,7065331691.0,65375.48878,75511940.2,111493543.9,1350041.746
2021-01-09 19:00:00,14518998542.0,8474611116.0,14803.84181,83077167.9,124808547.2,1297674.338
2021-01-09 20:00:00,14480967484.0,8055094283.0,30421622.43,80588887.24,84027129.63,1324662.802
2021-01-09 21:00:00,23849566984.0,6559513459.0,36635704.69,96615154.68,72647231.82,1640440.703
2021-01-09 22:00:00,26084308358.0,9619597095.0,43140519.36,112666551.1,59006615.92,1645236.177
2021-01-09 23:00:00,22477733023.0,7921913950.0,90320.55688,98122313.04,57950216.71,1246678.745
2021-01-10 00:00:00,21791909234.0,10777883614.0,81573469.55,87311014.81,115532846.2,2668461.409
2021-01-10 01:00:00,19440483696.0,6992274664.0,36626783.57,119728178.9,15521269.69,1028574.643
2021-01-10 02:00:00,18345504190.0,7607381971.0,20461.48108,119656610.6,49118664.15,1025674.231
2021-01-10 03:00:00,14771274937.0,7536108115.0,14473.32653,172101229.3,12759800.25,1018634.081
2021-01-10 04:00:00,14266909136.0,8982837067.0,62988.27,153348654.6,15009978.92,2545551.651
2021-01-10 05:00:00,12317522703.0,6075196368.0,43249835.67,126975163.4,18674486.37,2358565.943
2021-01-10 06:00:00,11906037765.0,2863558546.0,38477345.03,118649740.7,18665083.76,1011492.981
2021-01-10 07:00:00,12860990166.0,3047367687.0,37925608.52,221697687.0,15518173.08,987711.1929
2021-01-10 08:00:00,11094328679.0,4750240203.0,80284479.78,186191454.0,101764146.6,878575.4082
2021-01-10 09:00:00,7366085505.0,5133774756.0,67558.33219,101846684.6,19321475.09,907325.8151
2021-01-10 10:00:00,9751723601.0,4593471300.0,80706.60781,103428516.5,67349144.39,905743.6932
2021-01-10 11:00:00,10225381237.0,3379965641.0,44442968.56,84788353.91,17106774.67,882501.0913
2021-01-10 12:00:00,8016995427.0,1906947238.0,36056035.82,69681668.57,10729070.13,906888.3172
2021-01-10 13:00:00,8499173552.0,1008661340.0,70019.01424,66185733.04,32229198.9,938480.9021
2021-01-10 14:00:00,13250593554.0,3278497683.0,36613.65021,43903260.9,57285931.44,1046072.658
2021-01-10 15:00:00,17183180329.0,5306078852.0,40271088.57,36114007.11,53945753.25,1644311.319
2021-01-10 16:00:00,14301746036.0,12204339941.0,37514159.62,74218320.59,122608120.8,1524464.417
2021-01-10 17:00:00,10819136067.0,9649244178.0,49748659.85,51983091.14,115975963.3,1576599.75
2021-01-10 18:00:00,12569832561.0,9562264645.0,37497545.75,54270230.94,66955180.11,1080363.442
2021-01-10 19:00:00,18404243956.0,10656576359.0,14910.79615,58730293.24,105535458.4,1243873.371
2021-01-10 20:00:00,17991573370.0,12179031920.0,86456.6825,62288222.45,116312960.6,2549532.061
2021-01-10 21:00:00,16667238042.0,12013104114.0,30993526.58,59623514.45,74504084.27,1462642.513
2021-01-10 22:00:00,13120259445.0,10741518526.0,106596.7578,85600489.22,79559438.91,1205134.957
2021-01-10 23:00:00,14259551790.0,19075582784.0,113284.3105,74563784.5,58837529.81,1047115.753
2021-01-11 00:00:00,11329024265.0,9981276620.0,38522191.4,69201072.11,22327535.64,990700.2667
2021-01-11 01:00:00,12513548116.0,12637454553.0,37810005.68,91289562.92,56011574.42,999399.7358
2021-01-11 02:00:00,10988284200.0,20139635106.0,14664.58674,107901617.0,27657091.35,973478.4089
2021-01-11 03:00:00,9985652528.0,19485089836.0,44143.03688,180495742.4,35027465.04,904410.6996
2021-01-11 04:00:00,9054042026.0,16300009282.0,43118709.35,256593351.7,19160398.25,2319395.627
2021-01-11 05:00:00,10778020647.0,13349010527.0,50173392.01,120242665.9,7058961.588,2303553.94
2021-01-11 06:00:00,14208488974.0,9347440131.0,50309884.98,95665497.1,15120447.69,881593.3213
2021-01-11 07:00:00,19771511228.0,10103044619.0,93262.83813,88169786.25,95492801.85,886842.1938
2021-01-11 08:00:00,14166549289.0,14534136967.0,74833437.1,92918863.39,10696374.29,879463.3697
2021-01-11 09:00:00,7605514214.0,12996669379.0,15982.16729,82554883.46,50514613.16,881514.4932
2021-01-11 10:00:00,10485604885.0,10211473518.0,44403125.69,78551211.9,25187570.38,897614.3175
2021-01-11 11:00:00,7553146336.0,11236504331.0,15052.54323,139713850.2,54168602.62,880164.9043
2021-01-11 12:00:00,6669163393.0,6569241091.0,91313.91333,97528225.08,14154160.75,899533.9398
2021-01-11 13:00:00,10625757083.0,8690895669.0,37416503.13,80989579.26,27804892.42,977324.7377
2021-01-11 14:00:00,15285799638.0,5228028230.0,80047.93962,56498053.14,56412542.04,1113827.015
2021-01-11 15:00:00,10772217205.0,6718119045.0,107547.9992,35047654.92,96169807.45,1346400.504
2021-01-11 16:00:00,9812908261.0,8153311686.0,59467.67024,42490932.58,79263383.67,1241747.389
2021-01-11 17:00:00,10020328853.0,7484782531.0,15177.29569,36457125.09,66645700.77,1198745.953
2021-01-11 18:00:00,14179637235.0,8732766437.0,87146222.67,39958142.12,70312073.67,1180976.273
2021-01-11 19:00:00,13161248046.0,8849790009.0,48630158.41,48950638.67,130436685.3,1284249.37
2021-01-11 20:00:00,7942685016.0,10196480281.0,15180.42274,39494688.26,90359891.17,1217614.006
2021-01-11 21:00:00,8361110448.0,9100931083.0,15190.27868,41383574.9,76742713.03,1118640.973
2021-01-11 22:00:00,11103597162.0,9940392257.0,47847252.53,39738008.27,74978137.37,1087078.026
2021-01-11 23:00:00,8610580008.0,4262933686.0,74434258.41,32109792.68,107313938.9,997214.0168
2021-01-12 00:00:00,9060380168.0,4382422184.0,114022.8467,70619499.84,21043528.45,858353.7027
2021-01-12 01:00:00,12112121580.0,1995817384.0,22709591.24,138939114.3,54408751.31,881809.7807
2021-01-12 02:00:00,6490059748.0,2101778187.0,48526051.2,180618103.7,14383682.21,864683.5861
2021-01-12 03:00:00,6251568968.0,1459798734.0,104722.2816,152590924.5,12797334.37,868083.0009
2021-01-12 04:00:00,9385188417.0,4721214984.0,55978.20875,82566154.29,25881863.17,867724.8985
2021-01-12 05:00:00,9031899922.0,7036628138.0,72496548.78,79149034.51,60206201.48,867326.6465
2021-01-12 06:00:00,9068100649.0,9705763773.0,15976.91066,63436657.03,11949230.43,872584.47
2021-01-12 07:00:00,9771061100.0,3754108871.0,15267.38785,75641576.75,51328287.61,862187.2976
2021-01-12 08:00:00,9628964806.0,2070694374.0,84874404.39,66666353.38,34491546.14,866333.0856
2021-01-12 09:00:00,9452585971.0,3426074325.0,107077.9428,123032277.3,5533654.631,885530.275
2021-01-12 10:00:00,9223527496.0,1838970484.0,14992.43378,80646563.58,27098632.12,880108.1598
2021-01-12 11:00:00,7284768214.0,748799451.6,53424.71354,20510793.17,14447916.99,924733.7989
2021-01-12 12:00:00,7067725810.0,821855630.2,43104417.98,9876441.699,55265052.99,893344.21
2021-01-12 13:00:00,6739040560.0,953195156.0,115831717.9,28343649.83,14892655.46,889066.6798
2021-01-12 14:00:00,9780790626.0,1400051873.0,64401.95649,25207419.1,32263097.76,1001400.967
2021-01-12 15:00:00,8115809049.0,1788345362.0,37391284.23,29899603.76,36172292.0,1317377.268
2021-01-12 16:00:00,8702964173.0,808769811.5,14906.60771,32492221.02,79318327.52,1333041.713
